City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Weather,Rain(Inches),Snow(Inches),Wind Speed
153,Havelock,US,2020-07-13 02:54:02,34.88,-76.9,82.99,78,40,scattered clouds,0.0,0,6.93
154,Fort Abbas,PK,2020-07-13 02:49:06,29.19,72.85,93.36,48,1,clear sky,0.0,0,15.55
155,Tromso,NO,2020-07-13 02:53:01,69.65,18.96,51.8,87,75,broken clouds,0.0,0,2.24
156,Port Alfred,ZA,2020-07-13 02:54:03,-33.59,26.89,62.24,30,0,clear sky,0.0,0,12.1
157,Lichuan,CN,2020-07-13 02:54:03,30.3,108.85,69.89,96,100,light rain,0.43,0,3.51
158,Lira,UG,2020-07-13 02:54:03,2.23,32.91,62.11,95,32,scattered clouds,0.0,0,3.18
159,Petropavlovsk-Kamchatskiy,RU,2020-07-13 02:54:00,53.05,158.65,66.2,68,94,overcast clouds,0.0,0,13.42
160,Georgetown,MY,2020-07-13 02:54:03,5.41,100.34,82.4,78,20,few clouds,0.0,0,10.29
161,San Quintin,MX,2020-07-13 02:54:03,30.48,-115.95,72.27,67,0,clear sky,0.0,0,8.01
162,Sidi Ali,DZ,2020-07-13 02:54:03,36.1,0.42,72.41,81,42,scattered clouds,0.0,0,3.6
163,Honiara,SB,2020-07-13 02:54:04,-9.43,159.95,86.0,79,75,broken clouds,0.0,0,9.17
164,Provideniya,RU,2020-07-13 02:54:04,64.38,-173.3,48.2,81,40,fog,0.0,0,15.66
165,Alice Springs,AU,2020-07-13 02:49:57,-23.7,133.88,57.2,44,0,clear sky,0.0,0,14.99
166,Esperance,AU,2020-07-13 02:54:04,-33.87,121.9,60.8,38,0,clear sky,0.0,0,20.8
167,Saint-Pierre,RE,2020-07-13 02:54:04,-21.34,55.48,66.2,63,5,clear sky,0.0,0,5.82
168,Mar Del Plata,AR,2020-07-13 02:54:04,-38.0,-57.56,41.0,65,0,clear sky,0.0,0,16.11
169,Luancheng,CN,2020-07-13 02:54:04,37.88,114.65,77.0,83,20,mist,0.0,0,2.24
170,Bontang,ID,2020-07-13 02:53:02,0.13,117.5,76.44,91,100,light rain,0.28,0,3.58
171,Kamenka,RU,2020-07-13 02:54:04,51.32,42.77,69.01,76,69,broken clouds,0.0,0,5.66
172,Chipping Sodbury,GB,2020-07-13 02:54:04,51.54,-2.39,57.99,83,17,few clouds,0.0,0,5.88
173,Hay River,CA,2020-07-13 02:54:04,60.82,-115.8,66.2,68,75,broken clouds,0.0,0,3.36
